Datum,Nachricht
2022-04-05T15:00:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2022-04-05T15:00:00.000+02:00,"♻ RESET: Position geschlossen, alle Variablen zurückgesetzt"
2022-04-07T07:00:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2022-04-14T19:00:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2022-04-14T19:00:00.000+02:00,"♻ RESET: Position geschlossen, alle Variablen zurückgesetzt"
2022-04-18T11:02:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2022-05-02T13:02:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2022-05-02T13:02:00.000+02:00,"♻ RESET: Position geschlossen, alle Variablen zurückgesetzt"
2022-05-04T05:00:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2022-05-11T13:00:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2022-05-11T13:00:00.000+02:00,"♻ RESET: Position geschlossen, alle Variablen zurückgesetzt"
2022-05-13T05:00:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2022-06-14T13:00:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2022-06-14T13:00:00.000+02:00,──── LONG: Fractal High gefunden ────
2022-06-14T13:00:00.000+02:00,FH Preis=140.782 | H2_EMA20=140.539 | Abstand=0.17%
2022-06-14T13:00:00.000+02:00,Entry=140.782 | SL=140.132 (mode=Halber Abstand) | last_fl=139.482
2022-06-14T13:00:00.000+02:00,→ LONG ORDER PENDING gesetzt: Entry=140.782 SL=140.132
2022-06-14T13:00:00.000+02:00,──── Order Berechnung ────
2022-06-14T13:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-14T13:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-14T13:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-14T15:00:00.000+02:00,──── Order Berechnung ────
2022-06-14T15:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-14T15:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-14T15:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-14T17:00:00.000+02:00,──── Order Berechnung ────
2022-06-14T17:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-14T17:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-14T17:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-14T19:00:00.000+02:00,──── Order Berechnung ────
2022-06-14T19:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-14T19:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-14T19:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-14T21:00:00.000+02:00,──── Order Berechnung ────
2022-06-14T21:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-14T21:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-14T21:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-14T23:00:00.000+02:00,──── Order Berechnung ────
2022-06-14T23:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-14T23:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-14T23:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T01:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T01:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T01:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T01:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T03:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T03:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T03:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T03:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T05:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T05:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T05:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T05:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T07:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T07:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T07:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T07:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T09:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T09:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T09:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T09:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T11:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T11:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T11:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T11:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T13:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T13:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T13:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T13:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T15:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T15:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T15:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T15:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T17:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T17:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T17:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T17:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T19:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T19:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
